"cov","out","day","data_type","lwr","pe","upr"
"Democrats in Congress","Media",10,"Effect of a structural 10 percentage point attention increase at day 0",0.577298189996479,0.986378251834513,1.35901188649593
"Democrats in Congress","Media",11,"Effect of a one time 10 percentage point attention increase at day 0",0.274901254862937,0.46064504374519,0.633132637186142
"Democrats in Congress","Media",11,"Effect of a structural 10 percentage point attention increase at day 0",0.618982299163319,1.05997463473033,1.46597364130939
"Democrats in Congress","Media",12,"Effect of a one time 10 percentage point attention increase at day 0",0.283815102720647,0.482169865112365,0.666176675437209
"Democrats in Congress","Media",12,"Effect of a structural 10 percentage point attention increase at day 0",0.649608346268628,1.11975220794096,1.55555561200682
"Democrats in Congress","Media",13,"Effect of a one time 10 percentage point attention increase at day 0",0.280749094601097,0.494924016368084,0.689040047781585
"Democrats in Congress","Media",13,"Effect of a structural 10 percentage point attention increase at day 0",0.662255689908041,1.16285395120152,1.62442347070859
"Democrats in Congress","Media",14,"Effect of a one time 10 percentage point attention increase at day 0",0.282263385802045,0.51160731748955,0.715700693158726
"Democrats in Congress","Media",14,"Effect of a structural 10 percentage point attention increase at day 0",0.667978297178942,1.19928469763144,1.68328297674606
"Democrats in Congress","Media",15,"Effect of a one time 10 percentage point attention increase at day 0",0.295577157242498,0.538284069400451,0.751601397795959
"Democrats in Congress","Media",15,"Effect of a structural 10 percentage point attention increase at day 0",0.68074711997041,1.24107286266351,1.74433804498375
"Democrats in Congress","Media",16,"Effect of a one time 10 percentage point attention increase at day 0",0.315233864738977,0.569798632529145,0.791560263915326
"Democrats in Congress","Media",16,"Effect of a structural 10 percentage point attention increase at day 0",0.704339477861768,1.29100836195951,1.81070075508359
"Democrats in Congress","Media",17,"Effect of a one time 10 percentage point attention increase at day 0",0.335764382234021,0.601154429447921,0.830391523392779
"Democrats in Congress","Media",17,"Effect of a structural 10 percentage point attention increase at day 0",0.735862508837504,1.34611043530621,1.8795876740948
"Democrats in Congress","Media",18,"Effect of a one time 10 percentage point attention increase at day 0",0.352006188613787,0.628169403800635,0.86415079919992
"Democrats in Congress","Media",18,"Effect of a structural 10 percentage point attention increase at day 0",0.768549090015405,1.40062818478481,1.94569585248807
"Democrats in Congress","Media",19,"Effect of a one time 10 percentage point attention increase at day 0",0.361703728294062,0.649859339925485,0.892363946811703
"Democrats in Congress","Media",19,"Effect of a structural 10 percentage point attention increase at day 0",0.795960005650469,1.45006044713219,2.00534161081701
"Democrats in Congress","Media",20,"Effect of a one time 10 percentage point attention increase at day 0",0.368303495551546,0.668522771842508,0.917223122752276
"Democrats in Congress","Media",20,"Effect of a structural 10 percentage point attention increase at day 0",0.817236638535687,1.49367696243573,2.05820924499123
"Democrats in Congress","Media",21,"Effect of a one time 10 percentage point attention increase at day 0",0.376905428603526,0.687968270825281,0.942326804800611
"Democrats in Congress","Media",21,"Effect of a structural 10 percentage point attention increase at day 0",0.836577755742984,1.53444408170492,2.10728955526228
"Democrats in Congress","Media",22,"Effect of a one time 10 percentage point attention increase at day 0",0.390634307219608,0.709914788754167,0.969408561001767
"Democrats in Congress","Media",22,"Effect of a structural 10 percentage point attention increase at day 0",0.859588252873854,1.57573052074374,2.15597846535457
"Democrats in Congress","Media",23,"Effect of a one time 10 percentage point attention increase at day 0",0.406376505328391,0.733280072604209,0.997372690207106
"Democrats in Congress","Media",23,"Effect of a structural 10 percentage point attention increase at day 0",0.886806193172886,1.6186098324981,2.20536621777853
"Democrats in Congress","Media",24,"Effect of a one time 10 percentage point attention increase at day 0",0.42182954822625,0.756198088043137,1.02442473265856
"Democrats in Congress","Media",24,"Effect of a structural 10 percentage point attention increase at day 0",0.916308279496937,1.66203713945947,2.25449610180413
"Democrats in Congress","Media",25,"Effect of a one time 10 percentage point attention increase at day 0",0.435331495816974,0.777119288234555,1.04920712038413
"Democrats in Congress","Media",25,"Effect of a structural 10 percentage point attention increase at day 0",0.945350219357676,1.70397745925323,2.30157041141147
"Democrats in Congress","Media",26,"Effect of a one time 10 percentage point attention increase at day 0",0.446663921955741,0.795692887302589,1.07147843325502
"Democrats in Congress","Media",26,"Effect of a structural 10 percentage point attention increase at day 0",0.972074411301764,1.74288150616064,2.34528017618178
"Democrats in Congress","Media",27,"Effect of a one time 10 percentage point attention increase at day 0",0.456968248844239,0.812804979430946,1.09205810138418
"Democrats in Congress","Media",27,"Effect of a structural 10 percentage point attention increase at day 0",0.996400275356815,1.77860998833827,2.38554993043788
"Democrats in Congress","Media",28,"Effect of a one time 10 percentage point attention increase at day 0",0.467626055178099,0.82973350920836,1.11213486466142
"Democrats in Congress","Media",28,"Effect of a structural 10 percentage point attention increase at day 0",1.01951159714973,1.81223540747153,2.42338031928627
"Democrats in Congress","Media",29,"Effect of a one time 10 percentage point attention increase at day 0",0.479171590396129,0.847092898119791,1.13230596241812
"Democrats in Congress","Media",29,"Effect of a structural 10 percentage point attention increase at day 0",1.04257942838293,1.84497398530391,2.4599075472627
"Democrats in Congress","Media",30,"Effect of a one time 10 percentage point attention increase at day 0",0.491180043568504,0.864610967818822,1.15231951184203
"Democrats in Congress","Media",30,"Effect of a structural 10 percentage point attention increase at day 0",1.06592310779231,1.87733124670355,2.49559707331318
"Democrats in Congress","Media",31,"Effect of a one time 10 percentage point attention increase at day 0",0.502839333379114,0.881614587703327,1.1715793270746
"Democrats in Congress","Media",31,"Effect of a structural 10 percentage point attention increase at day 0",1.0890120624695,1.90902058516411,2.5302052286043
"Democrats in Congress","Media",32,"Effect of a one time 10 percentage point attention increase at day 0",0.51352706414485,0.897535211218139,1.1896103388599
"Democrats in Congress","Media",32,"Effect of a structural 10 percentage point attention increase at day 0",1.11098626279742,1.93937052408636,2.56317157192808
"Democrats in Congress","Media",33,"Effect of a one time 10 percentage point attention increase at day 0",0.523178645570145,0.912259377516796,1.20633518453698
"Democrats in Congress","Media",33,"Effect of a structural 10 percentage point attention increase at day 0",1.13129463663238,1.96788329916857,2.5940959317974
"Democrats in Congress","Media",34,"Effect of a one time 10 percentage point attention increase at day 0",0.532218979530784,0.926124394307735,1.22146332459479
"Democrats in Congress","Media",34,"Effect of a structural 10 percentage point attention increase at day 0",1.15000998230503,1.99456720063515,2.62241291762714
"Democrats in Congress","Media",35,"Effect of a one time 10 percentage point attention increase at day 0",0.541151982465163,0.939592927842238,1.23575146366291
"Democrats in Congress","Media",35,"Effect of a structural 10 percentage point attention increase at day 0",1.1676458725138,2.01984660174976,2.64843313892868
"Democrats in Congress","Media",36,"Effect of a one time 10 percentage point attention increase at day 0",0.550193008510192,0.952904777713137,1.2496651175613
"Democrats in Congress","Media",36,"Effect of a structural 10 percentage point attention increase at day 0",1.18471749580883,2.04419656577184,2.67278833901994
"Democrats in Congress","Media",37,"Effect of a one time 10 percentage point attention increase at day 0",0.559208757334702,0.965988896620856,1.26314720902912
"Democrats in Congress","Media",37,"Effect of a structural 10 percentage point attention increase at day 0",1.20142573644967,2.06784360966851,2.69583577014777
"Democrats in Congress","Media",38,"Effect of a one time 10 percentage point attention increase at day 0",0.567900853919679,0.978608550325175,1.27602102844009
"Democrats in Congress","Media",38,"Effect of a structural 10 percentage point attention increase at day 0",1.21763309273432,2.09071593709459,2.71765286958463
"Democrats in Congress","Media",39,"Effect of a one time 10 percentage point attention increase at day 0",0.576040945310259,0.990562570953909,1.28815344111292
"Democrats in Congress","Media",39,"Effect of a structural 10 percentage point attention increase at day 0",1.23306103531753,2.112593826716,2.73818649088956
"Democrats in Congress","Media",40,"Effect of a one time 10 percentage point attention increase at day 0",0.583612403976416,1.00182049096876,1.29954831280825
"Democrats in Congress","Media",40,"Effect of a structural 10 percentage point attention increase at day 0",1.24753511724174,2.13332018145966,2.75742869946761
"Democrats in Congress","Media",41,"Effect of a one time 10 percentage point attention increase at day 0",0.590779051147053,1.01251588984969,1.31032968273899
"Democrats in Congress","Media",41,"Effect of a structural 10 percentage point attention increase at day 0",1.26110319768452,2.15292071194571,2.77550245362178
"Democrats in Congress","Media",42,"Effect of a one time 10 percentage point attention increase at day 0",0.597734644572089,1.02282624071731,1.32064554737201
"Democrats in Congress","Media",42,"Effect of a structural 10 percentage point attention increase at day 0",1.27397120999834,2.1715690798427,2.79261498191487
"Democrats in Congress","Media",43,"Effect of a one time 10 percentage point attention increase at day 0",0.604569686526185,1.0328508635853,1.33057618353335
"Democrats in Congress","Media",43,"Effect of a structural 10 percentage point attention increase at day 0",1.28634574258427,2.18945747797814,2.80895262325173
"Democrats in Congress","Media",44,"Effect of a one time 10 percentage point attention increase at day 0",0.611243829067761,1.04257579660577,1.34011422395044
"Democrats in Congress","Media",44,"Effect of a structural 10 percentage point attention increase at day 0",1.29831569347017,2.20668807814187,2.82460862738039
"Democrats in Congress","Media",45,"Effect of a one time 10 percentage point attention increase at day 0",0.617650957825714,1.05192255649958,1.34920856037522
"Democrats in Congress","Media",45,"Effect of a structural 10 percentage point attention increase at day 0",1.30984030016883,2.22325182705269,2.83958330988581
"Democrats in Congress","Media",46,"Effect of a one time 10 percentage point attention increase at day 0",0.623710699790736,1.06082499378911,1.35782324797756
"Democrats in Congress","Media",46,"Effect of a structural 10 percentage point attention increase at day 0",1.32082418578174,2.23908424508556,2.85383767916539
"Democrats in Congress","Media",47,"Effect of a one time 10 percentage point attention increase at day 0",0.62942235925887,1.06928017478899,1.3659711260359
"Democrats in Congress","Media",47,"Effect of a structural 10 percentage point attention increase at day 0",1.33121039158322,2.2541437839309,2.86735436279092
"Democrats in Congress","Media",48,"Effect of a one time 10 percentage point attention increase at day 0",0.63485250968347,1.07734494887108,1.37370642846304
"Democrats in Congress","Media",48,"Effect of a structural 10 percentage point attention increase at day 0",1.34102467343864,2.26845534892729,2.88016544306677
"Democrats in Congress","Media",49,"Effect of a one time 10 percentage point attention increase at day 0",0.640079355154556,1.08509197629298,1.38110945814953
"Democrats in Congress","Media",49,"Effect of a structural 10 percentage point attention increase at day 0",1.35035214808067,2.28209717572061,2.89235645891283
"Democrats in Congress","Media",50,"Effect of a one time 10 percentage point attention increase at day 0",0.645143090724848,1.09256566395631,1.38821757485028
"Democrats in Congress","Media",50,"Effect of a structural 10 percentage point attention increase at day 0",1.35927910412436,2.29515399760098,2.9040060683111
"Democrats in Congress","Media",51,"Effect of a one time 10 percentage point attention increase at day 0",0.650034300255234,1.09976845523147,1.39501641238022
"Democrats in Congress","Media",51,"Effect of a structural 10 percentage point attention increase at day 0",1.36784813413267,2.30767717308573,2.91514060798671
"Democrats in Congress","Media",52,"Effect of a one time 10 percentage point attention increase at day 0",0.65471788834321,1.10667811595179,1.40149551631548
"Democrats in Congress","Media",52,"Effect of a structural 10 percentage point attention increase at day 0",1.37605292706671,2.31967644775573,2.92576006848617
"Democrats in Congress","Media",53,"Effect of a one time 10 percentage point attention increase at day 0",0.659168089677226,1.11327659133885,1.40764982534327
"Democrats in Congress","Media",53,"Effect of a structural 10 percentage point attention increase at day 0",1.38386644717099,2.33114064355255,2.93585581986261
"Democrats in Congress","Media",54,"Effect of a one time 10 percentage point attention increase at day 0",0.663388938988679,1.1195689658041,1.41349164062963
"Democrats in Congress","Media",54,"Effect of a structural 10 percentage point attention increase at day 0",1.39127588408148,2.34206662819851,2.94543064134713
"Democrats in Congress","Media",55,"Effect of a one time 10 percentage point attention increase at day 0",0.667409621442654,1.12558206627345,1.4190475357023
"Democrats in Congress","Media",55,"Effect of a structural 10 percentage point attention increase at day 0",1.39829919563791,2.35247515942077,2.95450673582031
"Democrats in Congress","Media",56,"Effect of a one time 10 percentage point attention increase at day 0",0.671263766434406,1.13134837380928,1.42434590085746
"Democrats in Congress","Media",56,"Effect of a structural 10 percentage point attention increase at day 0",1.40497644691689,2.36240601414189,2.96311900853541
"Democrats in Congress","Media",57,"Effect of a one time 10 percentage point attention increase at day 0",0.674842230729168,1.13688989009572,1.42940602685474
"Democrats in Congress","Media",57,"Effect of a structural 10 percentage point attention increase at day 0",1.41121952532335,2.37190088770678,2.97130204827867
"Democrats in Congress","Media",58,"Effect of a one time 10 percentage point attention increase at day 0",0.678232226887566,1.1422128902357,1.43423580059125
"Democrats in Congress","Media",58,"Effect of a structural 10 percentage point attention increase at day 0",1.41704951817127,2.38098872638073,2.97908091445405
"Democrats in Congress","Media",59,"Effect of a one time 10 percentage point attention increase at day 0",0.681469638984311,1.14731419453204,1.43883723455211
"Democrats in Congress","Media",59,"Effect of a structural 10 percentage point attention increase at day 0",1.42251802509896,2.38968266186978,2.98647049613032
"Democrats in Congress","Media",60,"Effect of a one time 10 percentage point attention increase at day 0",0.684550210863781,1.15219192197964,1.44321410012731
"Democrats in Congress","Media",60,"Effect of a structural 10 percentage point attention increase at day 0",1.42765811824254,2.39798769524505,2.99348166003855
"Democrats in Congress","Democratic Supporters",1,"Effect of a one time 10 percentage point attention increase at day 0",0.126263054718392,0.151832149390553,0.171781762097384
"Democrats in Congress","Democratic Supporters",1,"Effect of a structural 10 percentage point attention increase at day 0",0.126263054718392,0.151832149390553,0.171781762097384
"Democrats in Congress","Democratic Supporters",2,"Effect of a one time 10 percentage point attention increase at day 0",0.26856479127004,0.310500282238543,0.348633972028773
"Democrats in Congress","Democratic Supporters",2,"Effect of a structural 10 percentage point attention increase at day 0",0.35641124966025,0.416136223199114,0.468149688244744
"Democrats in Congress","Democratic Supporters",3,"Effect of a one time 10 percentage point attention increase at day 0",0.403489937898727,0.470029632660017,0.525008631861525
"Democrats in Congress","Democratic Supporters",3,"Effect of a structural 10 percentage point attention increase at day 0",0.648488980157224,0.755980158365159,0.846677655473609
"Democrats in Congress","Democratic Supporters",4,"Effect of a one time 10 percentage point attention increase at day 0",0.533655459320664,0.61228574882315,0.681835231515607
"Democrats in Congress","Democratic Supporters",4,"Effect of a structural 10 percentage point attention increase at day 0",0.974728103089639,1.12639049240827,1.25754608535595
"Democrats in Congress","Democratic Supporters",5,"Effect of a one time 10 percentage point attention increase at day 0",0.635835849848944,0.728278669567226,0.798036633496193
"Democrats in Congress","Democratic Supporters",5,"Effect of a structural 10 percentage point attention increase at day 0",1.29262187010315,1.48698491600948,1.64495179849796
"Democrats in Congress","Democratic Supporters",6,"Effect of a one time 10 percentage point attention increase at day 0",0.712808513225697,0.795882710461808,0.875495114273272
"Democrats in Congress","Democratic Supporters",6,"Effect of a structural 10 percentage point attention increase at day 0",1.57537532789087,1.78775560483319,1.97220423346999
"Democrats in Congress","Democratic Supporters",7,"Effect of a one time 10 percentage point attention increase at day 0",0.777578990972725,0.870047657679246,0.95677805689139
"Democrats in Congress","Democratic Supporters",7,"Effect of a structural 10 percentage point attention increase at day 0",1.81677843007695,2.04808421203338,2.25572650943364
"Democrats in Congress","Democratic Supporters",8,"Effect of a one time 10 percentage point attention increase at day 0",0.874708458378981,0.979174546599864,1.07544550928167
"Democrats in Congress","Democratic Supporters",8,"Effect of a structural 10 percentage point attention increase at day 0",2.05624492994689,2.30935336949864,2.53965789350072
"Democrats in Congress","Democratic Supporters",9,"Effect of a one time 10 percentage point attention increase at day 0",0.983200825875524,1.10533713351503,1.20616397484596
"Democrats in Congress","Democratic Supporters",9,"Effect of a structural 10 percentage point attention increase at day 0",2.30122828748566,2.58334135451692,2.83043603358764
"Democrats in Congress","Democratic Supporters",10,"Effect of a one time 10 percentage point attention increase at day 0",1.09267143730889,1.2324346988274,1.34191946012227
"Democrats in Congress","Democratic Supporters",10,"Effect of a structural 10 percentage point attention increase at day 0",2.5474016550884,2.86307692196786,3.12666976684006
"Democrats in Congress","Democratic Supporters",11,"Effect of a one time 10 percentage point attention increase at day 0",1.19535390377787,1.34911791851415,1.47074957469946
"Democrats in Congress","Democratic Supporters",11,"Effect of a structural 10 percentage point attention increase at day 0",2.78532048442443,3.13390998979756,3.41741967766161
"Democrats in Congress","Democratic Supporters",12,"Effect of a one time 10 percentage point attention increase at day 0",1.28149885674576,1.44749500331536,1.57653140659039
"Democrats in Congress","Democratic Supporters",12,"Effect of a structural 10 percentage point attention increase at day 0",3.00028482850887,3.37966458096091,3.68099420274606
"Democrats in Congress","Democratic Supporters",13,"Effect of a one time 10 percentage point attention increase at day 0",1.34969081203502,1.52539742086245,1.6629001451148
"Democrats in Congress","Democratic Supporters",13,"Effect of a structural 10 percentage point attention increase at day 0",3.18175299860124,3.58821614623708,3.90702502319842
"Democrats in Congress","Democratic Supporters",14,"Effect of a one time 10 percentage point attention increase at day 0",1.4120413655544,1.59802878349061,1.74602307151821
"Democrats in Congress","Democratic Supporters",14,"Effect of a structural 10 percentage point attention increase at day 0",3.33469361689972,3.76620077487364,4.10435679895488
"Democrats in Congress","Democratic Supporters",15,"Effect of a one time 10 percentage point attention increase at day 0",1.48123429419012,1.67790236259587,1.83013035569517
"Democrats in Congress","Democratic Supporters",15,"Effect of a structural 10 percentage point attention increase at day 0",3.47492853269515,3.93026580044486,4.28285823948674
"Democrats in Congress","Democratic Supporters",16,"Effect of a one time 10 percentage point attention increase at day 0",1.55469102692413,1.76315300965142,1.92083151989425
"Democrats in Congress","Democratic Supporters",16,"Effect of a structural 10 percentage point attention increase at day 0",3.61088393816439,4.09004926462456,4.4548811568122
"Democrats in Congress","Democratic Supporters",17,"Effect of a one time 10 percentage point attention increase at day 0",1.62783839946974,1.84787605713219,2.01098309208924
"Democrats in Congress","Democratic Supporters",17,"Effect of a structural 10 percentage point attention increase at day 0",3.74402492251938,4.24663845906073,4.62222487281598
"Democrats in Congress","Democratic Supporters",18,"Effect of a one time 10 percentage point attention increase at day 0",1.69561175772903,1.92654839785011,2.09476220202192
"Democrats in Congress","Democratic Supporters",18,"Effect of a structural 10 percentage point attention increase at day 0",3.87079697251943,4.39592757792293,4.78100299823324
"Democrats in Congress","Democratic Supporters",19,"Effect of a one time 10 percentage point attention increase at day 0",1.75512882973206,1.99566923337254,2.16988235064336
"Democrats in Congress","Democratic Supporters",19,"Effect of a structural 10 percentage point attention increase at day 0",3.98648619682772,4.53233987100297,4.92706149460406
"Democrats in Congress","Democratic Supporters",20,"Effect of a one time 10 percentage point attention increase at day 0",1.80675994879443,2.05574620152646,2.23612412181603
"Democrats in Congress","Democratic Supporters",20,"Effect of a structural 10 percentage point attention increase at day 0",4.08855768770365,4.65292608102266,5.05769196486096
"Democrats in Congress","Democratic Supporters",21,"Effect of a one time 10 percentage point attention increase at day 0",1.85476111360134,2.11177841337858,2.29745686883775
"Democrats in Congress","Democratic Supporters",21,"Effect of a structural 10 percentage point attention increase at day 0",4.17935986177784,4.76044452191471,5.17478924240581
"Democrats in Congress","Democratic Supporters",22,"Effect of a one time 10 percentage point attention increase at day 0",1.90253274304197,2.16802335009813,2.35750159590454
"Democrats in Congress","Democratic Supporters",22,"Effect of a structural 10 percentage point attention increase at day 0",4.26351419849091,4.86060888737569,5.28287621694846
"Democrats in Congress","Democratic Supporters",23,"Effect of a one time 10 percentage point attention increase at day 0",1.95002336217986,2.22469863659815,2.4168046834705
"Democrats in Congress","Democratic Supporters",23,"Effect of a structural 10 percentage point attention increase at day 0",4.34387112579256,4.9572697220682,5.38528749750593
"Democrats in Congress","Democratic Supporters",24,"Effect of a one time 10 percentage point attention increase at day 0",1.99663904806112,2.27995981501245,2.47420049621359
"Democrats in Congress","Democratic Supporters",24,"Effect of a structural 10 percentage point attention increase at day 0",4.42172547589357,5.05117570024805,5.48309345091201
"Democrats in Congress","Democratic Supporters",25,"Effect of a one time 10 percentage point attention increase at day 0",2.04003499793039,2.33167344219636,2.52814131442049
"Democrats in Congress","Democratic Supporters",25,"Effect of a structural 10 percentage point attention increase at day 0",4.49575944216585,5.14086723865399,5.57564540934005
"Democrats in Congress","Democratic Supporters",26,"Effect of a one time 10 percentage point attention increase at day 0",2.07886847191989,2.37860832676931,2.57756703946806
"Democrats in Congress","Democratic Supporters",26,"Effect of a structural 10 percentage point attention increase at day 0",4.56389351927615,5.22432598647792,5.6616437472068
"Democrats in Congress","Democratic Supporters",27,"Effect of a one time 10 percentage point attention increase at day 0",2.11364023653523,2.42120845328515,2.6226933738019
"Democrats in Congress","Democratic Supporters",27,"Effect of a structural 10 percentage point attention increase at day 0",4.62525836243188,5.30068102034854,5.74047993627229
"Democrats in Congress","Democratic Supporters",28,"Effect of a one time 10 percentage point attention increase at day 0",2.14621298441865,2.46121963473478,2.66485535259951
"Democrats in Congress","Democratic Supporters",28,"Effect of a structural 10 percentage point attention increase at day 0",4.68101054351723,5.37093599397018,5.81294413534913
"Democrats in Congress","Democratic Supporters",29,"Effect of a one time 10 percentage point attention increase at day 0",2.17809403599673,2.50010947782296,2.70528530807262
"Democrats in Congress","Democratic Supporters",29,"Effect of a structural 10 percentage point attention increase at day 0",4.73326338353165,5.43700646418181,5.8805910810539
"Democrats in Congress","Democratic Supporters",30,"Effect of a one time 10 percentage point attention increase at day 0",2.2095438738554,2.53814968040796,2.744345388635
"Democrats in Congress","Democratic Supporters",30,"Effect of a structural 10 percentage point attention increase at day 0",4.78356723071551,5.50029034890116,5.94466549804175
"Democrats in Congress","Democratic Supporters",31,"Effect of a one time 10 percentage point attention increase at day 0",2.23994862970716,2.57479023640365,2.78158863364969
"Democrats in Congress","Democratic Supporters",31,"Effect of a structural 10 percentage point attention increase at day 0",4.83229196801477,5.5611262232445,6.00549064505479
"Democrats in Congress","Democratic Supporters",32,"Effect of a one time 10 percentage point attention increase at day 0",2.26847397781721,2.60929186577789,2.8160823289843
"Democrats in Congress","Democratic Supporters",32,"Effect of a structural 10 percentage point attention increase at day 0",4.87886950464505,5.61903906798876,6.06236095105052
"Democrats in Congress","Democratic Supporters",33,"Effect of a one time 10 percentage point attention increase at day 0",2.29468262942301,2.64126915488593,2.84799366979682
"Democrats in Congress","Democratic Supporters",33,"Effect of a structural 10 percentage point attention increase at day 0",4.92251563850345,5.67337693448548,6.11499219687111
"Democrats in Congress","Democratic Supporters",34,"Effect of a one time 10 percentage point attention increase at day 0",2.31881662446862,2.67095381954689,2.87755595575523
"Democrats in Congress","Democratic Supporters",34,"Effect of a structural 10 percentage point attention increase at day 0",4.96293214960799,5.72392974333904,6.16343025838128
"Democrats in Congress","Democratic Supporters",35,"Effect of a one time 10 percentage point attention increase at day 0",2.34154821649966,2.69898324118499,2.90536295737299
"Democrats in Congress","Democratic Supporters",35,"Effect of a structural 10 percentage point attention increase at day 0",5.00051353098473,5.77111723831004,6.20823481842628
"Democrats in Congress","Democratic Supporters",36,"Effect of a one time 10 percentage point attention increase at day 0",2.36343774011323,2.7258986600754,2.93191864128845
"Democrats in Congress","Democratic Supporters",36,"Effect of a structural 10 percentage point attention increase at day 0",5.03598207596932,5.81565671449236,6.25019022049237
"Democrats in Congress","Democratic Supporters",37,"Effect of a one time 10 percentage point attention increase at day 0",2.38463591886469,2.75185831856914,2.9573866089277
"Democrats in Congress","Democratic Supporters",37,"Effect of a structural 10 percentage point attention increase at day 0",5.06989159911324,5.85810485492367,6.28990617813653
"Democrats in Congress","Democratic Supporters",38,"Effect of a one time 10 percentage point attention increase at day 0",2.4049584620643,2.77671216428217,2.98165759561194
"Democrats in Congress","Democratic Supporters",38,"Effect of a structural 10 percentage point attention increase at day 0",5.10239161165326,5.89864809695232,6.32764224622513
"Democrats in Congress","Democratic Supporters",39,"Effect of a one time 10 percentage point attention increase at day 0",2.42412867522786,2.80022600212018,3.00454444779709
"Democrats in Congress","Democratic Supporters",39,"Effect of a structural 10 percentage point attention increase at day 0",5.13330502619015,5.93717712057957,6.36337557240845
"Democrats in Congress","Democratic Supporters",40,"Effect of a one time 10 percentage point attention increase at day 0",2.44201762026188,2.82229604998386,3.02611150323655
"Democrats in Congress","Democratic Supporters",40,"Effect of a structural 10 percentage point attention increase at day 0",5.16239173146372,5.97352151203069,6.39714428526358
"Democrats in Congress","Democratic Supporters",41,"Effect of a one time 10 percentage point attention increase at day 0",2.45873860718298,2.84303711357315,3.04639388181406
"Democrats in Congress","Democratic Supporters",41,"Effect of a structural 10 percentage point attention increase at day 0",5.18959248392825,6.00766763741807,6.4289827057299
"Democrats in Congress","Democratic Supporters",42,"Effect of a one time 10 percentage point attention increase at day 0",2.47454935063732,2.86269732640537,3.06558526026427
"Democrats in Congress","Democratic Supporters",42,"Effect of a structural 10 percentage point attention increase at day 0",5.21508835630889,6.0398136475887,6.45905259886418
"Democrats in Congress","Democratic Supporters",43,"Effect of a one time 10 percentage point attention increase at day 0",2.48967098117084,2.88149228439893,3.08390315130848
"Democrats in Congress","Democratic Supporters",43,"Effect of a structural 10 percentage point attention increase at day 0",5.23917399480218,6.07025581510419,6.4876165494338
"Democrats in Congress","Democratic Supporters",44,"Effect of a one time 10 percentage point attention increase at day 0",2.50418264749705,2.899507188753,3.1014204758553
"Democrats in Congress","Democratic Supporters",44,"Effect of a structural 10 percentage point attention increase at day 0",5.26208622600361,6.09923413437054,6.514871267323
"Democrats in Congress","Democratic Supporters",45,"Effect of a one time 10 percentage point attention increase at day 0",2.51803849655403,2.91671314292285,3.11809655387981
"Democrats in Congress","Democratic Supporters",45,"Effect of a structural 10 percentage point attention increase at day 0",5.28391611667801,6.12685502446757,6.54087311210185
"Democrats in Congress","Democratic Supporters",46,"Effect of a one time 10 percentage point attention increase at day 0",2.53115630524475,2.93304730829905,3.13386787609755
"Democrats in Congress","Democratic Supporters",46,"Effect of a structural 10 percentage point attention increase at day 0",5.30463557947726,6.15311634418833,6.56557450457008
